epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,187.9,1.46217,3.22562,0.00752,0.63654,0.15049,0.13457,0.07877,1.4879,3.16257,0.0077,0.000177013,0.000177013,0.000177013
44,191.247,1.53195,3.1911,0.00655,0.53443,0.16869,0.13915,0.08299,1.47937,3.12736,0.00758,0.000174013,0.000174013,0.000174013
45,194.485,1.47802,3.17193,0.00672,0.52434,0.16591,0.13993,0.08345,1.48097,3.11793,0.00756,0.000171013,0.000171013,0.000171013
46,198.987,1.4855,3.08975,0.00758,0.48609,0.16583,0.14557,0.08681,1.48391,3.08649,0.00768,0.000168013,0.000168013,0.000168013
47,202.471,1.57296,3.11737,0.00664,0.49088,0.16745,0.14393,0.08589,1.47066,3.09844,0.00764,0.000165014,0.000165014,0.000165014
48,205.817,1.52299,3.09056,0.00638,0.49449,0.17262,0.14415,0.08575,1.48074,3.07761,0.00765,0.000162014,0.000162014,0.000162014
49,209,1.43344,3.0358,0.00673,0.49376,0.17071,0.14529,0.08558,1.45976,3.0938,0.00755,0.000159014,0.000159014,0.000159014
50,213.704,1.43166,3.07213,0.00759,0.49198,0.17377,0.1427,0.08416,1.46546,3.07249,0.00754,0.000156015,0.000156015,0.000156015
51,217.104,1.47307,2.93426,0.00685,0.49724,0.16965,0.1452,0.08713,1.46606,3.02784,0.00754,0.000153015,0.000153015,0.000153015
52,220.421,1.46904,2.99736,0.00705,0.49683,0.17918,0.1456,0.08731,1.47525,3.00364,0.00762,0.000150015,0.000150015,0.000150015
53,224.326,1.42302,2.88585,0.00679,0.46898,0.1864,0.14659,0.08798,1.47912,2.99623,0.00765,0.000147016,0.000147016,0.000147016
54,228.364,1.4437,3.01262,0.007,0.50575,0.18755,0.15179,0.09158,1.49942,2.97142,0.0077,0.000144016,0.000144016,0.000144016
55,231.689,1.50391,3.29263,0.00721,0.51412,0.18706,0.16024,0.09578,1.48798,2.97257,0.00765,0.000141016,0.000141016,0.000141016
56,235.02,1.45232,2.86309,0.00665,0.51948,0.18897,0.1671,0.10118,1.49672,2.92746,0.0077,0.000138016,0.000138016,0.000138016
57,239.857,1.45055,2.89298,0.00689,0.52091,0.19185,0.17047,0.10335,1.49125,2.9112,0.00768,0.000135017,0.000135017,0.000135017
58,243.286,1.48395,2.96226,0.00647,0.48677,0.19624,0.17553,0.10747,1.46495,2.90533,0.00754,0.000132017,0.000132017,0.000132017
59,246.658,1.47889,2.86319,0.00638,0.51971,0.20074,0.17794,0.11018,1.45827,2.87529,0.00753,0.000129017,0.000129017,0.000129017
60,250.104,1.42801,2.97802,0.00642,0.51745,0.20406,0.17972,0.11245,1.44769,2.85539,0.00744,0.000126018,0.000126018,0.000126018
61,254.535,1.43553,2.92559,0.00706,0.52006,0.19504,0.17909,0.11227,1.44285,2.84877,0.00742,0.000123018,0.000123018,0.000123018
62,257.912,1.46295,2.83688,0.00671,0.55395,0.19939,0.17882,0.11218,1.44773,2.83228,0.00745,0.000120018,0.000120018,0.000120018
63,261.13,1.48598,2.89782,0.00642,0.51678,0.21196,0.18131,0.11329,1.44204,2.82793,0.00742,0.000117019,0.000117019,0.000117019
64,265.45,1.48353,2.86779,0.00706,0.48435,0.21723,0.18545,0.11562,1.45425,2.80783,0.00751,0.000114019,0.000114019,0.000114019
65,269.085,1.47259,3.28383,0.00774,0.52032,0.21573,0.18773,0.11652,1.4532,2.80408,0.00752,0.000111019,0.000111019,0.000111019
66,272.404,1.4269,2.77194,0.00658,0.51854,0.23853,0.19145,0.11901,1.43974,2.80036,0.00744,0.000108019,0.000108019,0.000108019
67,275.758,1.3918,2.75645,0.00625,0.52829,0.24044,0.19511,0.12177,1.43046,2.78497,0.0074,0.00010502,0.00010502,0.00010502
68,280.472,1.37329,2.79615,0.00634,0.53352,0.24084,0.19706,0.12348,1.42052,2.76972,0.00732,0.00010202,0.00010202,0.00010202
69,283.762,1.38426,3.01661,0.00682,0.53591,0.24336,0.19968,0.12501,1.41689,2.76125,0.00728,9.90204e-05,9.90204e-05,9.90204e-05
70,287.01,1.43946,2.81661,0.00652,0.53796,0.25129,0.20271,0.12742,1.41302,2.74644,0.00727,9.60207e-05,9.60207e-05,9.60207e-05
71,290.198,1.47295,2.77737,0.00644,0.54102,0.24009,0.20291,0.1265,1.41273,2.73782,0.0073,9.3021e-05,9.3021e-05,9.3021e-05
72,294.805,1.45269,2.70308,0.00645,0.5437,0.23337,0.20918,0.12931,1.42555,2.74217,0.00745,9.00213e-05,9.00213e-05,9.00213e-05
73,298.045,1.44135,2.76051,0.00679,0.54503,0.23372,0.21048,0.13008,1.43373,2.73855,0.00749,8.70216e-05,8.70216e-05,8.70216e-05
74,301.258,1.45488,2.9263,0.00697,0.54777,0.23745,0.20866,0.1288,1.42806,2.72088,0.00745,8.40219e-05,8.40219e-05,8.40219e-05
75,305.128,1.38185,2.74538,0.00649,0.56055,0.24217,0.21346,0.13243,1.41479,2.71187,0.00733,8.10222e-05,8.10222e-05,8.10222e-05
76,308.911,1.47529,2.66767,0.00706,0.56361,0.24267,0.21568,0.13663,1.39763,2.69868,0.00721,7.80225e-05,7.80225e-05,7.80225e-05
77,312.096,1.5866,2.81984,0.00713,0.56324,0.2433,0.21764,0.13808,1.40008,2.69189,0.00717,7.50228e-05,7.50228e-05,7.50228e-05
