epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4511.83,1.00081,0.42733,1.02207,0.99765,0.98945,0.99491,0.70971,1.0404,0.38731,1.051,0.0005941,0.0005941,0.0005941
43,4619.29,1.00135,0.42534,1.01993,0.99301,0.99281,0.9948,0.71938,1.01914,0.37983,1.031,0.0005842,0.0005842,0.0005842
44,4729.3,0.99543,0.42166,1.02279,0.99536,0.98778,0.9948,0.71923,1.01615,0.37407,1.02682,0.0005743,0.0005743,0.0005743
45,4840.94,1.00279,0.42333,1.02188,0.99379,0.98894,0.99489,0.72474,1.01876,0.36942,1.02654,0.0005644,0.0005644,0.0005644
46,4952.4,0.98947,0.41304,1.01553,0.99532,0.98953,0.99487,0.72037,1.00961,0.37049,1.03102,0.0005545,0.0005545,0.0005545
47,5061.68,0.98033,0.41256,1.01259,0.99231,0.9901,0.9948,0.72305,1.012,0.36095,1.03026,0.0005446,0.0005446,0.0005446
48,5169.11,0.98597,0.41562,1.01503,0.9959,0.99029,0.9948,0.72017,1.01292,0.36546,1.02468,0.0005347,0.0005347,0.0005347
49,5277.1,0.98546,0.41205,1.0175,0.99591,0.99177,0.9949,0.71918,1.02074,0.36398,1.03585,0.0005248,0.0005248,0.0005248
50,5383.66,0.99159,0.41615,1.02082,0.99708,0.9924,0.99484,0.7198,1.0156,0.36778,1.03121,0.0005149,0.0005149,0.0005149
51,5491.36,0.99207,0.41227,1.01432,0.99011,0.99056,0.99464,0.72292,1.00909,0.36619,1.01963,0.000505,0.000505,0.000505
52,5599.89,0.99256,0.41211,1.01255,0.99186,0.99243,0.99475,0.72019,1.02224,0.36342,1.02488,0.0004951,0.0004951,0.0004951
53,5706.42,0.98493,0.40889,1.01348,0.99708,0.99232,0.99489,0.72598,1.00412,0.35788,1.01841,0.0004852,0.0004852,0.0004852
54,5814,0.98149,0.40683,1.0107,0.99333,0.99243,0.99484,0.72557,1.00344,0.35902,1.01966,0.0004753,0.0004753,0.0004753
55,5920.83,0.9737,0.40567,1.00576,0.99417,0.9919,0.99488,0.72384,1.00919,0.35497,1.0173,0.0004654,0.0004654,0.0004654
56,6028.33,0.97629,0.40482,1.00817,0.993,0.99156,0.99485,0.72408,1.00894,0.35321,1.02224,0.0004555,0.0004555,0.0004555
57,6135.8,0.97,0.40348,1.00636,0.99214,0.99302,0.99482,0.72627,1.00544,0.35031,1.01727,0.0004456,0.0004456,0.0004456
58,6243.16,0.96944,0.39854,1.00992,0.9959,0.99057,0.99491,0.72054,1.01438,0.35399,1.02448,0.0004357,0.0004357,0.0004357
59,6351.17,0.96751,0.39909,1.0063,0.99532,0.98968,0.99488,0.72842,1.00162,0.35656,1.01572,0.0004258,0.0004258,0.0004258
60,6459.41,0.96861,0.39775,1.0097,0.9937,0.99243,0.99462,0.72727,0.99899,0.3452,1.01332,0.0004159,0.0004159,0.0004159
