epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,81577.1,1.02335,0.42763,1.01045,0.99521,0.98719,0.99447,0.72075,1.02292,0.37503,1.01793,0.0005941,0.0005941,0.0005941
43,83493.6,1.02015,0.43291,1.01404,0.99299,0.99004,0.99483,0.72019,1.02783,0.3777,1.01861,0.0005842,0.0005842,0.0005842
44,85315.5,1.00949,0.42126,1.0047,0.99516,0.98836,0.99464,0.72179,1.02509,0.37217,1.01529,0.0005743,0.0005743,0.0005743
45,87116.5,1.0117,0.42642,1.01111,0.9907,0.99245,0.9949,0.7232,1.02281,0.37208,1.01705,0.0005644,0.0005644,0.0005644
46,88893,1.01005,0.42057,1.00744,0.99421,0.9901,0.9949,0.72262,1.02285,0.36836,1.01449,0.0005545,0.0005545,0.0005545
47,90676.8,1.01615,0.42545,1.01205,0.99324,0.98894,0.99473,0.72009,1.03228,0.37069,1.0174,0.0005446,0.0005446,0.0005446
48,92457.8,1.0069,0.42237,1.01145,0.99572,0.98719,0.99477,0.72187,1.01621,0.37041,1.0201,0.0005347,0.0005347,0.0005347
49,94251.9,0.99755,0.41695,1.00285,0.99603,0.98894,0.99472,0.7236,1.01691,0.36073,1.0129,0.0005248,0.0005248,0.0005248
50,96023.9,1.00428,0.41574,1.0075,0.99589,0.98753,0.99479,0.7242,1.02719,0.36222,1.01379,0.0005149,0.0005149,0.0005149
51,97802.1,1.00662,0.4157,1.00989,0.9948,0.98952,0.99483,0.71933,1.02521,0.36575,1.01256,0.000505,0.000505,0.000505
52,99573.3,1.00468,0.41178,1.00572,0.99648,0.98833,0.99495,0.72138,1.0213,0.36152,1.0128,0.0004951,0.0004951,0.0004951
53,101354,1.00731,0.4126,1.00795,0.99706,0.98661,0.99485,0.72371,1.02022,0.35739,1.01211,0.0004852,0.0004852,0.0004852
54,103141,1.00131,0.40917,1.00709,0.99474,0.99006,0.9949,0.72312,1.0198,0.35737,1.01196,0.0004753,0.0004753,0.0004753
