epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,129.039,1.46021,2.28871,1.2259,0,0,0,0,0,0,0,0.000128725,0.000128725,0.000128725
51,131.34,1.47372,2.23733,1.21083,0,0,0,0,0,0,0,0.00012625,0.00012625,0.00012625
52,133.954,1.46777,2.27217,1.21332,0,0,0,0,0,0,0,0.000123775,0.000123775,0.000123775
53,136.025,1.42,2.27565,1.17993,0,0,0,0,0,0,0,0.0001213,0.0001213,0.0001213
54,137.82,1.42669,2.30406,1.19843,0,0,0,0,0,0,0,0.000118825,0.000118825,0.000118825
55,141.15,1.49908,2.33653,1.24047,0,0,0,0,0,0,0,0.00011635,0.00011635,0.00011635
56,143.3,1.41738,2.21217,1.18011,0,0,0,0,0,0,0,0.000113875,0.000113875,0.000113875
57,146.19,1.42714,2.14443,1.20263,0,0,0,0,0,0,0,0.0001114,0.0001114,0.0001114
58,148.395,1.47926,2.228,1.17225,0,0,0,0,0,0,0,0.000108925,0.000108925,0.000108925
59,150.296,1.44711,2.16373,1.15683,0,0,0,0,0,0,0,0.00010645,0.00010645,0.00010645
60,152.244,1.43247,2.17572,1.17638,0,0,0,0,0,0,0,0.000103975,0.000103975,0.000103975
61,154.284,1.44254,2.16301,1.20559,0,0,0,0,0,0,0,0.0001015,0.0001015,0.0001015
62,156.188,1.4387,2.07812,1.19645,0,0,0,0,0,0,0,9.9025e-05,9.9025e-05,9.9025e-05
63,159.034,1.44447,2.16232,1.1876,0,0,0,0,0,0,0,9.655e-05,9.655e-05,9.655e-05
64,161.415,1.42462,2.06252,1.20126,0,0,0,0,0,0,0,9.4075e-05,9.4075e-05,9.4075e-05
65,163.197,1.44952,2.31341,1.25009,0,0,0,0,0,0,0,9.16e-05,9.16e-05,9.16e-05
66,165.108,1.42444,2.05117,1.17263,0,0,0,0,0,0,0,8.9125e-05,8.9125e-05,8.9125e-05
